property_type,property,location_area,location,total_price,price_sqft,area(sq-ft),bhk,bath,has_balcony,area_type,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,floor,furnished_status,property_status,marble_floor,property_link,property_description
 Flat ,"3 BHK Flat for Sale in Ajmer Road, Jaipur",ajmer road, Ajmer Road,4900000,3926,1248,3,2,TRUE,Built-up Area,1,1,0,0,0,0,2,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1248-sq-ft-apartment-in-ajmer-road/9724259,"This furnished three-bedroom Flats on Ajmer Road, Jaipur, is ideal for families seeking convenience and a lifestyle of ease, priced at 49 Lac.Spanning 1248 square feet on the second floor of a seven-story building, this home offers a pleasant road view from its balcony.Residents will enjoy access to a comprehensive suite of amenities including a gymnasium, swimming pool, kids` play"
 Flat ,"3 BHK Flat for Sale in Tonk Road, Jaipur",pratap nagar, Tonk Road,5800000,4873,1190,3,2,TRUE,Built-up Area,,1,0,0,0,0,11,Unfurnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1190-sq-ft-apartment-in-mahima-sansaar/9383284,"This 3 bhk flat is located in mahima sansaar, which houses some of the most spacious flats in jagatpura, jaipur. Mahima Sansaar is one of the most popular and sought after residential society in Jaipur. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area"
 Flat ,"1 BHK Flat for Sale in Mansarovar Extension, Jaipur",mansarovar, Mansarovar Extension,1800000,3781,476,1,1,TRUE,Saleable Area,,,0,0,0,0,10,Unfurnished,Ready To Move,,https://www.squareyards.com/resale-1-bhk-476-sq-ft-apartment-in-mansarovar-extension/9827553,"Consider an unfurnished 1 BHK Flats in Mansarovar Extension, Jaipur, offering 476 square feet of space for 18 lac.Located on the 10th floor of a building with 10 floors, this property presents a pragmatic choice for new homeowners or investors.The apartment includes a balcony, perfect for enjoying the city views, and access to essential amenities such as a gymnasium, 24"
 Flat ,"4 BHK Flat for Sale in Vatika, Jaipur",other, Vatika,14500000,6891,2104,4,3,TRUE,Built-up Area,,,1,0,0,1,7,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-4-bhk-pooja-room-study-room-2104-sq-ft-apartment-in-shree-govind-crystal-city-phase-ii/9708621,"This 2104 square feet, four-bedroom, three-bathroom Flats offers a luxurious lifestyle in Shree Govind Crystal City Phase II, Jaipur.The unit is situated on the seventh floor of a twenty-one-story building and provides a calming garden view from its balcony, a perfect retreat after a long day.The apartment comes fully furnished, ensuring a seamless move-in experience for its new owner, and"
 Flat ,"3 BHK Flat for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,6800000,4533,1500,3,3,TRUE,Built-up Area,1,1,1,0,0,0,Not Available,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1500-sq-ft-apartment-in-jagatpura/9700128,"This furnished 3 bedroom, 3 bathroom Flats in Jagatpura, Jaipur offers 1500 square feet of living space for 68 Lac.The apartment includes a balcony, walk-in closet, and is equipped with central Wi-Fi, broadband internet, and satellite/cable TV.Residents will appreciate the extensive amenities such as a gymnasium, badminton court, squash court, kids` play areas, a restaurant, first aid medical center, and"
 Flat ,"3 BHK Flat for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,6200000,4275,1450,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,,,https://www.squareyards.com/resale-3-bhk-1450-sq-ft-apartment-in-shri-ram-the-city-of-golden-domes/9624735,"This three-bedroom, three-bathroom Flats in Jagatpura, Jaipur, offers a fantastic living space of 1450 square feet for 62 lakh.Located in the Shri Ram The City Of Golden Domes project, this semi-furnished home provides comfortable living with one dedicated parking spot. With an age of 8-10 years, it balances modern construction with a well-established community feel, making it a suitable choice"
 Flat ,"2.5 BHK Flat for Sale in Mohanpura, Jaipur",dholai, Mohanpura,4500000,3846,1170,2.5,2,FALSE,Built-up Area,1,,0,0,0,1,Not Available,Semi-Furnished,,,https://www.squareyards.com/resale-2-5-bhk-extra-room-1170-sq-ft-apartment-in-unique-sapphire/9274746,"Could your next home be in Jaipur growing Mohanpura locality.This semi-furnished two and a half bedroom, two-bathroom Flats in Unique Sapphire offers 1170 square feet of comfortable living space, perfect for families or individuals seeking value. Priced at 45 lakh, it features a desirable road view and comes with one dedicated parking spot, along with visitor parking for when guests"
Studio Flat,"Studio Flat for Sale in Ramnagariya, Jaipur",ramnagariya, Ramnagariya,2900000,6921,419,Studio,1,FALSE,Built-up Area,1,1,0,0,0,0,8,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-studio-419-sq-ft-apartment-in-okay-plus-solitaire-suites/9833645,"Invest in a vibrant lifestyle at Okay Plus Solitaire Suites in Ramnagariya, Jaipur, offering a studio Flats with one bathroom and one parking space for 29 lakh.This fully furnished apartment on the 8th floor of a 14-story building boasts a park view and is less than a year old, making it a fresh addition to the market.Residents will enjoy access"
 Flat ,"3 BHK Flat for Sale in Sanjay Nagar, Jaipur",vaishali nagar, Sanjay Nagar,5500000,4230,1300,3,3,FALSE,Built-up Area,1,1,0,0,0,0,2,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1300-sq-ft-apartment-in-sanjay-nagar/9737347,"This unfurnished 3 bedroom, 3 bathroom Flats in Jaipur offers 1300 square feet of living space on the second floor, presenting a practical investment opportunity.Located at 148 Santosh Nagar near TN Mishra Marg, this property is situated in a gated society with a road view and priced at 55 Lac.The apartment, with a property age of 2-4 years, is ideal"
 Flat ,"3 BHK Flat for Sale in Gandhi Path, Jaipur",gandhi path, Gandhi Path,4500000,4901,918,3,2,FALSE,Built-up Area,,,1,0,0,0,11,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-918-sq-ft-apartment-in-manglam-aadhar/9801374,"This unfurnished 3-bedroom, 2-bathroom Flats in Gandhi Path, Jaipur, offers a compelling investment opportunity with its desirable park view and location within the reputed Manglam Aadhar project.Priced at 45 lakh, this 918 square feet residence is situated on the 11th floor of a 12-story building, promising ample natural light and ventilation throughout.Residents will enjoy access to a comprehensive suite of"
