property,location_area,property_location,total_price,area(sq-ft),price(sqft),face,outside_view,lat,long_,property_link,property_img_link,property_description
"Plot for Sale in Bhapura, Jaipur",bhapura, bhapura,3250000,1170,2777,east facing,garden view,26.7378969,75.6615384,https://www.squareyards.com/resale-130-sq-yd-plot-in-vrb-global-city/9645940,https://img.squareyards.com/secondaryPortal/IN_639015946540576600-1712250657345734.jpg?aio=w-360;h-250;crop;,"A 130 square yard freehold plot in Bhapura, Jaipur, is available for 32.5 lakh, presenting a fantastic chance to invest in a property that boasts a garden view and is located on a wide road, with many conveniences nearby.This plot is situated in a well-connected area, close to the city center, and comes with access to numerous amenities including kids'"
"Plot for Sale in Jagatpura, Jaipur",jagatpura, jagatpura,10500000,1080,9722,,garden view,26.835285,75.824203,https://www.squareyards.com/resale-120-sq-yd-plot-in-jagatpura/9524233,https://img.squareyards.com/secondaryPortal/IN_638997695386017613-2611250358585858.jpeg?aio=w-360;h-250;crop;,"Here a wonderful chance to secure your piece of Jagatpura, Jaipur. This 120 square yards plot, priced at 1.05 crore, is situated in a prime, gated society offering a safe and secure environment perfect for families.Imagine waking up to a lovely park view, knowing that essential amenities like power backup, an attached market, ATMs, and dedicated security staff with CCTV surveillance"
"Plot for Sale in Bagru Khurd, Jaipur",ajmer road, bagru khurd,4790000,981,4882,,road view,,,https://www.squareyards.com/resale-109-sq-yd-plot-in-omaxe-city/9775364,https://img.squareyards.com/secondaryPortal/optImages/IN_639038178758353379-1201261231153115.jpg?aio=w-360;h-250;crop;,"This freehold plot in Bagru Khurd, Jaipur, priced at 47.9 Lac, offers a secure and prime investment opportunity within a gated society.Measuring 109 Square Yards, this plot features a desirable Road View and is equipped with essential amenities including a Gymnasium, Kids` Play Areas, Jogging / Cycle Track, and reliable Power Backup and Electricity Backup systems.Residents will appreciate the comprehensive"
"Plot for Sale in Pratap Nagar, Jaipur",pratap nagar, pratap nagar,11100000,1197,9273,,,26.81305014,75.82439125,https://www.squareyards.com/resale-133-sq-yd-plot-in-pratap-nagar/9627950,https://img.squareyards.com/secondaryPortal/IN_639014092703548853-1512250327502750.jpg?aio=w-360;h-250;crop;,"Build your dream home in the vibrant city of Jaipur with this spacious 133 square yard plot located in the well-connected Pratap Nagar area, available for 1.11 crore.This is an excellent opportunity for investors or families looking for a prime location to establish their roots. Jaipur, known for its rich culture and growing infrastructure, offers a fantastic lifestyle with easy"
"Plot for Sale in Ajmer Road, Jaipur",ajmer road, ajmer road,2375000,1098,2163,east facing,water view,26.91243347,75.78727081,https://www.squareyards.com/resale-122-sq-yd-plot-in-dev-nagar/9527166,https://img.squareyards.com/secondaryPortal/IN_638998247830591582-2711250719431943.jpg?aio=w-360;h-250;crop;,"A chance to secure plot number 73 on Ajmer Road in Jaipur could be the beginning of something special for your family.This 122 square yard plot is priced at 23.75 lakh and offers a beautiful lake view, making it an attractive place to build your home. You will find yourself in a prime location within a gated society, which means"
"Plot for Sale in Jaipur Ajmer Express Highway, Jaipur",ajmer road, jaipur ajmer express highway,6771000,999,6777,west facing,garden view,27.002431,75.74092459,https://www.squareyards.com/resale-111-sq-yd-plot-in-aman-encalve/9691081,https://img.squareyards.com/secondaryPortal/IN_639023470374815891-2612251157175717.png?aio=w-360;h-250;crop;,"Discover a prime opportunity to build your dream home in ANAN ENCLAVE LOHA MANDI ROAD MACHEDA, Jaipur, a place designed for families seeking a blend of luxury and convenience.Priced at 67.7 Lac for 111 Square Yards, this plot offers a serene Park View, promising a tranquil living experience.The development boasts essential amenities such as 24 x 7 Security, ensuring your"
"Plot for Sale in Daulatpura, Jaipur",other, daulatpura,4205000,2700,1557,east facing,road view,27.0824783,75.8306435,https://www.squareyards.com/resale-300-sq-yd-plot-in-daulatpura/9768788,https://img.squareyards.com/secondaryPortal/optImages/IN_639036539559108837-1001260259155915.jpg?aio=w-360;h-250;crop;,"This 300 Square Yards plot in Daulatpura, Jaipur, available for 42.05 Lac, offers a Road View and is a practical choice for building your new home or for investment.The location provides easy access to essential services and recreational facilities, making it an attractive place to develop a property.You will have the benefit of community amenities like a Swimming Pool, Badminton"
"Plot for Sale in Kishorpura, Jaipur",kishorpura, kishorpura,5165000,1863,2772,east facing,road view,26.74859542,75.70789084,https://www.squareyards.com/resale-207-sq-yd-plot-in-kishorpura/9854617,https://img.squareyards.com/secondaryPortal/optImages/IN_639049623765992898-2501260626162616.jpg?aio=w-360;h-250;crop;,"Consider plot number 2 in Kishorpura, Jaipur, a 207 square yards parcel of land for sale at 51.65 Lac, offering a solid foundation for building your dream home or an investment property.This plot faces the road, providing easy accessibility and visibility.The locality of Kishorpura is known for its developing infrastructure and community feel, making it an attractive area for families"
"Plot for Sale in Neota, Jaipur",neota, neota,3350000,999,3353,east facing,road view,26.80309558,75.67899037,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber-extension-1st-n/9657583,https://img.squareyards.com/secondaryPortal/IN_639017550628837452-191225033102312.jpg?aio=w-360;h-250;crop;,"Build your future in Neota, Jaipur, with this 111 Square Yards plot, offered at 33.5 Lac, boasting a desirable road view and access to amenities like kids` play areas, 24x7 security, a clubhouse, and a large green area, ensuring a comfortable and secure environment for your dream home or investment.This plot provides a solid base for creating the life you`ve"
"Plot for Sale in Neota, Jaipur",neota, neota,2600000,900,2888,,,26.803238,75.678656,https://www.squareyards.com/resale-100-sq-yd-plot-in-neota/9806345,https://img.squareyards.com/secondaryPortal/optImages/IN_639041804185672786-1601260513381338.jpg?aio=w-360;h-250;crop;,"This 100 Square Yards plot in Neota, Jaipur, is available for sale at 26 Lac, presenting a straightforward opportunity for individuals or families looking to build their ideal home in a developing area.Its size is well-suited for creating a comfortable residence, and the locality of Neota is known for its growing infrastructure and accessibility within Jaipur.This property offers a practical"
"Plot for Sale in Ajmer Road, Jaipur",ajmer road, ajmer road,3144000,1233,2549,,garden view,26.8938045,75.7472084,https://www.squareyards.com/resale-137-sq-yd-plot-in-ajmer-road/9744405,https://img.squareyards.com/secondaryPortal/optImages/IN_639033921128516784-0701260215121512.jpg?aio=w-360;h-250;crop;,"This plot of land provides an excellent opportunity for investors and homeowners looking for a property with a peaceful garden view in Jaipur, Rajasthan.The asking price for this plot is 31.44 Lac, making it an accessible entry into the real estate market.Situated on Ajmer Road, this location offers a balance of quiet living and convenient access to city amenities.The property"
"Plot for Sale in Ratalya, Jaipur",other, ratalya,4185000,900,4650,,,26.75570073,75.75932575,https://www.squareyards.com/resale-900-sq-ft-plot-in-ratalya/9720836,https://img.squareyards.com/secondaryPortal/IN_639027840259344923-3112250120252025.jpeg?aio=w-360;h-250;crop;,"This 900 Square Feet plot in Ratalya, Jaipur, offers a sound investment for individuals planning their future developments.The price of 41.85 Lac is clearly stated for budget-conscious buyers looking for a tangible asset.Situated in Ratalya, a locality experiencing notable development, this land provides a solid base for constructing a new home or a rental property.Its size is adaptable for various"
"Plot for Sale in Kalwara, Jaipur",kalwara, kalwara,4000000,999,4004,east facing,garden view,,,https://www.squareyards.com/resale-111-sq-yd-plot-in-gokul-nikunj/9596235,https://img.squareyards.com/secondaryPortal/IN_639009612894999535-101225110129129.png?aio=w-360;h-250;crop;,"Here is a wonderfully situated 111 square yards plot in Kalwara, Jaipur, available for 40 lakh, offering a delightful park view and a secure, gated community environment that truly feels like home.This location is perfect for those seeking a blend of convenience and tranquility, being close to the city center yet providing a peaceful escape. You will find an array"
"Plot for Sale in Balawala, Jaipur",other, balawala,2000000,999,2002,west facing,,,,https://www.squareyards.com/resale-111-sq-yd-plot-in-purple-aamod/9273986,https://img.squareyards.com/secondaryPortal/IN_638952903997977641-0510250746394639.jpg?aio=w-360;h-250;crop;,"Secure a prime 111 square yard plot in Balawala, Jaipur, for just 20 lakh, offering an excellent foundation for your investment or dream home.This freehold property boasts a wide road, ensuring easy access, and provides the convenience of being near the city center, putting you close to all essential amenities and conveniences. Residents will enjoy access to a refreshing swimming"
"Plot for Sale in Tonk Phatak, Jaipur",central jaipur, tonk phatak,21000000,2097,10014,north facing,,26.89108861,75.79074293,https://www.squareyards.com/resale-233-sq-yd-plot-in-tonk-phatak/9732192,https://img.squareyards.com/secondaryPortal/optImages/IN_639032167212279156-050126013201321.jpg?aio=w-360;h-250;crop;,"Discover an excellent investment opportunity in Jaipur`s bustling Tonk Phatak, where a 233 square yards plot is available for 2.1 crore, perfect for commercial development.This prime location is enhanced by convenient access to an attached market, a restaurant, a food court, a first aid medical center, and a 24 hours concierge, making it an ideal spot for businesses that prioritize"
"Plot for Sale in Mansarovar Extension, Jaipur",mansarovar, mansarovar extension,12000000,1503,7984,east facing,road view,26.8392272,75.75114079,https://www.squareyards.com/resale-167-sq-yd-plot-in-mansarovar-extension/9274801,https://img.squareyards.com/secondaryPortal/IN_638953475723890311-0610251139323932.jpg?aio=w-360;h-250;crop;,"Here is a 167 square yard plot in Mansarovar Extension, Jaipur, available for sale at 1.2 crore, offering a pleasant road view.This property is located in a developing area of Jaipur, providing a good foundation for future growth and a convenient living environment. You will appreciate the accessibility and the potential this plot holds for building your dream home or"
"Plot for Sale in Pratap Nagar, Jaipur",pratap nagar, pratap nagar,8100000,891,9090,east facing,road view,26.80818997,75.82529582,https://www.squareyards.com/resale-99-sq-yd-plot-in-an-enclave-005/8203168,https://img.squareyards.com/secondaryPortal/IN_638751685263666918-140225102206226.jpg?aio=w-360;h-250;crop;,"JDA approved loanable Plots in new developed township near Coaching hub Pratap nagar Sector 16,Jaipur. Township having all the primary amenities like road, road lights, sewage, Garden, Mandir etc. Contact:- 174"
"Plot for Sale in Ajmer Road, Jaipur",ajmer road, ajmer road,4854000,1287,3771,,,26.89736311,75.78504492,https://www.squareyards.com/resale-143-sq-yd-plot-in-ajmer-road/8949029,https://img.squareyards.com/secondaryPortal/IN_638880132280711456-1307250220282028.jpg?aio=w-360;h-250;crop;,"Secure a prime piece of land on the main Ajmer highway in Jaipur, a location that promises both excellent connectivity and growth potential for just 48.54 Lac.This expansive plot spans 143 square yards, offering a generous canvas to create the home or investment you have always wanted. Imagine building your dream residence or a profitable commercial space in an area"
